x_m,y_m,w_tr_right_m,w_tr_left_m
-48.975,-3.225,29.097,29.097
-48.975,-3.175,29.09,29.09
-48.975,-3.125,29.083,29.083
-48.975,-3.075,29.076,29.076
-48.975,-3.025,29.07,29.07
-48.975,-2.975,29.063,29.063
-48.975,-2.925,29.056,29.056
-48.975,-2.875,29.05,29.05
-48.975,-2.825,29.043,29.043
-48.975,-2.775,29.037,29.037
-48.975,-2.725,29.03,29.03
-48.975,-2.675,29.024,29.024
-48.975,-2.625,29.018,29.018
-48.975,-2.575,29.012,29.012
-48.975,-2.525,29.006,29.006
-48.975,-2.475,29.0,29.0
-48.975,-2.425,28.994,28.994
-48.975,-2.375,28.988,28.988
-48.975,-2.325,28.983,28.983
-48.975,-2.275,28.977,28.977
-48.975,-2.225,28.972,28.972
-48.975,-2.175,28.966,28.966
-48.975,-2.125,28.961,28.961
-48.975,-2.075,28.956,28.956
-48.975,-2.025,28.951,28.951
-48.975,-1.975,28.946,28.946
-48.975,-1.925,28.941,28.941
-48.975,-1.875,28.936,28.936
-48.975,-1.825,28.931,28.931
-48.975,-1.775,28.926,28.926
-48.975,-1.725,28.922,28.922
-48.975,-1.675,28.917,28.917
-48.975,-1.625,28.913,28.913
-48.975,-1.575,28.908,28.908
-48.975,-1.525,28.904,28.904
-48.975,-1.475,28.9,28.9
-48.975,-1.425,28.896,28.896
-48.975,-1.375,28.892,28.892
-48.975,-1.325,28.888,28.888
-48.975,-1.275,28.884,28.884
-48.975,-1.225,28.88,28.88
-48.975,-1.175,28.876,28.876
-48.975,-1.125,28.873,28.873
-48.975,-1.075,28.869,28.869
-48.975,-1.025,28.866,28.866
-48.975,-0.975,28.863,28.863
-48.975,-0.925,28.859,28.859
-48.975,-0.875,28.856,28.856
-48.975,-0.825,28.853,28.853
-48.975,-0.775,28.85,28.85
-48.975,-0.725,28.847,28.847
-48.975,-0.675,28.844,28.844
-48.975,-0.625,28.842,28.842
-48.975,-0.575,28.839,28.839
-48.975,-0.525,28.836,28.836
-48.975,-0.475,28.834,28.834
-48.975,-0.425,28.832,28.832
-48.975,-0.375,28.829,28.829
-48.975,-0.325,28.827,28.827
-48.975,-0.275,28.825,28.825
-48.975,-0.225,28.823,28.823
-48.975,-0.175,28.821,28.821
-48.975,-0.125,28.819,28.819
-48.975,-0.075,28.817,28.817
-48.975,-0.025,28.816,28.816
-48.975,0.025,28.814,28.814
-48.975,0.075,28.813,28.813
-48.975,0.125,28.811,28.811
-48.975,0.175,28.81,28.81
-48.975,0.225,28.809,28.809
-48.975,0.275,28.807,28.807
-48.975,0.325,28.806,28.806
-48.975,0.375,28.805,28.805
-48.975,0.425,28.804,28.804
-48.975,0.475,28.804,28.804
-48.975,0.525,28.803,28.803
-48.975,0.575,28.802,28.802
-48.975,0.625,28.802,28.802
-48.975,0.675,28.801,28.801
-48.975,0.725,28.801,28.801
-48.975,0.775,28.8,28.8
-48.975,0.825,28.8,28.8
-48.975,0.875,28.8,28.8
-48.975,0.925,28.8,28.8
-48.975,0.975,28.8,28.8
-48.975,1.025,28.8,28.8
-48.975,1.075,28.8,28.8
-48.975,1.125,28.8,28.8
-48.975,1.175,28.8,28.8
-48.975,1.225,28.8,28.8
-48.975,1.275,28.8,28.8
-48.975,1.325,28.8,28.8
-48.975,1.375,28.8,28.8
-48.975,1.425,28.8,28.8
-48.975,1.475,28.8,28.8
-48.975,1.525,28.8,28.8
-48.975,1.575,28.8,28.8
-48.975,1.625,28.8,28.8
-48.975,1.675,28.8,28.8
-48.975,1.725,28.8,28.8
-48.975,1.775,28.8,28.8
-48.975,1.825,28.8,28.8
-48.975,1.875,28.8,28.8
-48.975,1.925,28.8,28.8
-48.975,1.975,28.8,28.8
-48.975,2.025,28.8,28.8
-48.975,2.075,28.8,28.8
-48.975,2.125,28.8,28.8
-48.975,2.175,28.8,28.8
-48.975,2.225,28.8,28.8
-48.975,2.275,28.8,28.8
-48.975,2.325,28.8,28.8
-48.975,2.375,28.8,28.8
-48.975,2.425,28.8,28.8
-48.975,2.475,28.8,28.8
-48.975,2.525,28.8,28.8
-48.975,2.575,28.8,28.8
-48.975,2.625,28.8,28.8
-48.975,2.675,28.8,28.8
-48.975,2.725,28.8,28.8
-48.975,2.775,28.8,28.8
-48.975,2.825,28.8,28.8
-48.975,2.875,28.8,28.8
-48.975,2.925,28.8,28.8
-48.975,2.975,28.8,28.8
-48.975,3.025,28.8,28.8
-48.975,3.075,28.8,28.8
-48.975,3.125,28.8,28.8
-48.975,3.175,28.8,28.8
-48.975,3.225,28.8,28.8
-48.975,3.275,28.8,28.8
-48.975,3.325,28.8,28.8
-48.975,3.375,28.8,28.8
-48.975,3.425,28.8,28.8
-48.975,3.475,28.8,28.8
-48.975,3.525,28.8,28.8
