# x_m,y_m,w_tr_right_m,w_tr_left_m
-13.7250,3.7750,0.8000,0.8000
-13.7250,3.7250,0.8000,0.8000
-13.7250,3.6750,0.8000,0.8000
-13.7250,3.6250,0.8000,0.8000
-13.7250,3.5750,0.8000,0.8000
-13.7250,3.5250,0.8000,0.8000
-13.7250,3.4750,0.8000,0.8000
-13.7250,3.4250,0.8000,0.8000
-13.7250,3.3750,0.8000,0.8000
-13.7250,3.3250,0.8000,0.8000
-13.7250,3.2750,0.8000,0.8000
-13.7250,3.2250,0.8000,0.8000
-13.7250,3.1750,0.8000,0.8000
-13.7250,3.1250,0.8000,0.8000
-13.7250,3.0750,0.8000,0.8000
-13.7250,3.0250,0.8000,0.8000
-13.7250,2.9750,0.8000,0.8000
-13.7250,2.9250,0.8000,0.8000
-13.7250,2.8750,0.8000,0.8000
-13.7250,2.8250,0.8000,0.8000
-13.7250,2.7750,0.8000,0.8000
-13.7250,2.7250,0.8000,0.8000
-13.7250,2.6750,0.8000,0.8000
-13.7250,2.6250,0.8000,0.8000
-13.7250,2.5750,0.8000,0.8000
-13.7250,2.5250,0.8000,0.8000
-13.7250,2.4750,0.8000,0.8000
-13.7250,2.4250,0.8000,0.8000
-13.7250,2.3750,0.8000,0.8000
-13.7250,2.3250,0.8000,0.8000
-13.7250,2.2750,0.8000,0.8000
-13.7250,2.2250,0.8000,0.8000
-13.7250,2.1750,0.8000,0.8000
-13.7250,2.1250,0.8000,0.8000
-13.7250,2.0750,0.8000,0.8000
-13.7250,2.0250,0.8000,0.8000
-13.7250,1.9750,0.8000,0.8000
-13.7250,1.9250,0.8000,0.8000
-13.7250,1.8750,0.8000,0.8000
-13.7250,1.8250,0.8000,0.8000
-13.7250,1.7750,0.8000,0.8000
-13.7250,1.7250,0.8000,0.8000
-13.7250,1.6750,0.8000,0.8000
-13.7250,1.6250,0.8000,0.8000
-13.7250,1.5750,0.8000,0.8000
-13.7250,1.5250,0.8000,0.8000
-13.7250,1.4750,0.8000,0.8000
-13.7250,1.4250,0.8000,0.8000
-13.7250,1.3750,0.8000,0.8000
-13.7250,1.3250,0.8000,0.8000
-13.7250,1.2750,0.8000,0.8000
-13.7250,1.2250,0.8000,0.8000
-13.7250,1.1750,0.8000,0.8000
-13.7250,1.1250,0.8000,0.8000
-13.7250,1.0750,0.8000,0.8000
-13.7250,1.0250,0.8000,0.8000
-13.7250,0.9750,0.8000,0.8000
-13.7250,0.9250,0.8000,0.8000
-13.7250,0.8750,0.8000,0.8000
-13.7250,0.8250,0.8000,0.8000
-13.7250,0.7750,0.8000,0.8000
-13.7250,0.7250,0.8000,0.8000
-13.7250,0.6750,0.8000,0.8000
-13.7250,0.6250,0.8000,0.8000
-13.7250,0.5750,0.8000,0.8000
-13.7250,0.5250,0.8000,0.8000
-13.7250,0.4750,0.8000,0.8000
-13.7250,0.4250,0.8000,0.8000
-13.7250,0.3750,0.8000,0.8000
-13.7250,0.3250,0.8000,0.8000
-13.7250,0.2750,0.8000,0.8000
-13.7250,0.2250,0.8000,0.8000
-13.7250,0.1750,0.8000,0.8000
-13.7250,0.1250,0.8000,0.8000
-13.7250,0.0750,0.8000,0.8000
-13.7250,0.0250,0.8000,0.8000
-13.7250,-0.0250,0.8000,0.8000
-13.7250,-0.0750,0.8000,0.8000
-13.7250,-0.1250,0.8000,0.8000
-13.6750,-0.1750,0.8500,0.8500
-13.6250,-0.2250,0.8000,0.8000
-13.5750,-0.2250,0.8000,0.8000
-13.5250,-0.2250,0.8000,0.8000
-13.4750,-0.2250,0.8000,0.8000
-13.4250,-0.2250,0.8000,0.8000
-13.3750,-0.2250,0.8000,0.8000
-13.3250,-0.2250,0.8000,0.8000
-13.2750,-0.2250,0.8000,0.8000
-13.2250,-0.2250,0.8000,0.8000
-13.1750,-0.2250,0.8000,0.8000
-13.1250,-0.2250,0.8000,0.8000
-13.0750,-0.2250,0.8000,0.8000
-13.0250,-0.2250,0.8000,0.8000
-12.9750,-0.2250,0.8000,0.8000
-12.9250,-0.2250,0.8000,0.8000
