# x_m,y_m,w_tr_right_m,w_tr_left_m
-39.0750,1.1250,23.8066,23.8066
-39.0750,1.1750,23.8019,23.8019
-39.0750,1.2250,23.7973,23.7973
-39.0750,1.2750,23.7929,23.7929
-39.0750,1.3250,23.7885,23.7885
-39.0750,1.3750,23.7842,23.7842
-39.0750,1.4250,23.7801,23.7801
-39.0750,1.4750,23.7760,23.7760
-39.0750,1.5250,23.7721,23.7721
-39.0750,1.5750,23.7683,23.7683
-39.0750,1.6250,23.7645,23.7645
-39.0750,1.6750,23.7609,23.7609
-39.0750,1.7250,23.7574,23.7574
-39.0750,1.7750,23.7539,23.7539
-39.0750,1.8250,23.7506,23.7506
-39.0750,1.8750,23.7474,23.7474
-39.0750,1.9250,23.7443,23.7443
-39.0750,1.9750,23.7413,23.7413
-39.0750,2.0250,23.7384,23.7384
-39.0750,2.0750,23.7356,23.7356
-39.0750,2.1250,23.7329,23.7329
-39.0750,2.1750,23.7304,23.7304
-39.0750,2.2250,23.7279,23.7279
-39.0750,2.2750,23.7255,23.7255
-39.0750,2.3250,23.7232,23.7232
-39.0750,2.3750,23.7211,23.7211
-39.0750,2.4250,23.7190,23.7190
-39.0750,2.4750,23.7171,23.7171
-39.0750,2.5250,23.7152,23.7152
-39.0750,2.5750,23.7135,23.7135
-39.0750,2.6250,23.7119,23.7119
-39.0750,2.6750,23.7103,23.7103
-39.0750,2.7250,23.7089,23.7089
-39.0750,2.7750,23.7076,23.7076
-39.0750,2.8250,23.7064,23.7064
-39.0750,2.8750,23.7053,23.7053
-39.0750,2.9250,23.7043,23.7043
-39.0750,2.9750,23.7034,23.7034
-39.0750,3.0250,23.7026,23.7026
-39.0750,3.0750,23.7019,23.7019
-39.0750,3.1250,23.7013,23.7013
-39.0750,3.1750,23.7008,23.7008
-39.0750,3.2250,23.7005,23.7005
-39.0750,3.2750,23.7002,23.7002
-39.0750,3.3250,23.7001,23.7001
-39.0750,3.3750,23.7000,23.7000
-39.0750,3.4250,23.7000,23.7000
-39.0750,3.4750,23.7000,23.7000
-39.0750,3.5250,23.7000,23.7000
-39.0750,3.5750,23.7000,23.7000
-39.0750,3.6250,23.7000,23.7000
-39.0750,3.6750,23.7000,23.7000
-39.0750,3.7250,23.7000,23.7000
-39.0750,3.7750,23.7000,23.7000
-39.0750,3.8250,23.7000,23.7000
-39.0750,3.8750,23.7000,23.7000
-39.0750,3.9250,23.7000,23.7000
-39.0750,3.9750,23.7000,23.7000
-39.0750,4.0250,23.7000,23.7000
-39.0750,4.0750,23.7000,23.7000
