# x_m,y_m,w_tr_right_m,w_tr_left_m
11.8700,-42.2000,0.9000,0.9000
11.8700,-42.3000,0.9000,0.9000
11.8700,-42.4000,0.9055,0.9055
11.7700,-42.5000,1.0198,1.0198
11.7700,-42.6000,1.0440,1.0440
11.7700,-42.7000,1.0770,1.0770
11.6700,-42.8000,1.2083,1.2083
11.7700,-42.9000,1.1662,1.1662
11.7700,-43.0000,1.2207,1.2207
11.7700,-43.1000,1.1662,1.1662
11.8700,-43.2000,1.2042,1.2042
11.9700,-43.3000,1.1662,1.1662
12.0700,-43.3000,1.2042,1.2042
12.1700,-43.4000,1.2000,1.2000
12.2700,-43.5000,1.0770,1.0770
12.3700,-43.6000,0.9487,0.9487
12.4700,-43.6000,0.9220,0.9220
12.5700,-43.6000,0.9055,0.9055
12.6700,-43.7000,0.8000,0.8000
12.7700,-43.7000,0.8000,0.8000
12.8700,-43.7000,0.8000,0.8000
12.9700,-43.7000,0.8000,0.8000
13.0700,-43.6000,0.8246,0.8246
13.1700,-43.6000,0.8062,0.8062
13.2700,-43.6000,0.8000,0.8000
13.3700,-43.6000,0.8000,0.8000
13.4700,-43.6000,0.8000,0.8000
13.5700,-43.6000,0.8000,0.8000
13.6700,-43.6000,0.8000,0.8000
13.7700,-43.6000,0.8000,0.8000
13.8700,-43.6000,0.8000,0.8000
13.9700,-43.7000,0.7000,0.7000
14.0700,-43.7000,0.7000,0.7000
14.1700,-43.7000,0.7000,0.7000
14.2700,-43.7000,0.7000,0.7000
14.3700,-43.7000,0.7071,0.7071
14.4700,-43.7000,0.7280,0.7280
14.5700,-43.7000,0.7071,0.7071
14.6700,-43.7000,0.7000,0.7000
14.7700,-43.7000,0.7000,0.7000
14.8700,-43.8000,0.7616,0.7616
14.9700,-43.8000,0.8000,0.8000
15.0700,-43.8000,0.8062,0.8062
15.1700,-43.9000,0.7280,0.7280
15.2700,-43.9000,0.7616,0.7616
15.3700,-43.9000,0.8062,0.8062
15.4700,-43.9000,0.8062,0.8062
15.5700,-44.0000,0.8062,0.8062
15.6700,-44.0000,0.8246,0.8246
15.7700,-44.1000,0.8062,0.8062
15.8700,-44.1000,0.8544,0.8544
15.9700,-44.1000,0.8246,0.8246
16.0700,-44.2000,0.8000,0.8000
16.1700,-44.2000,0.8000,0.8000
16.2700,-44.2000,0.8062,0.8062
16.3700,-44.2000,0.8246,0.8246
16.4700,-44.2000,0.8062,0.8062
16.5700,-44.2000,0.8000,0.8000
16.6700,-44.2000,0.8000,0.8000
16.7700,-44.1000,0.7000,0.7000
16.8700,-44.1000,0.7000,0.7000
16.9700,-44.1000,0.7000,0.7000
17.0700,-44.1000,0.7000,0.7000
17.1700,-44.1000,0.7000,0.7000
17.2700,-44.1000,0.7000,0.7000
17.3700,-44.1000,0.6708,0.6708
17.4700,-44.1000,0.6325,0.6325
17.5700,-44.1000,0.6083,0.6083
17.6700,-44.0000,0.6000,0.6000
17.7700,-44.0000,0.6000,0.6000
17.8700,-44.0000,0.6000,0.6000
17.9700,-44.0000,0.6000,0.6000
18.0700,-44.0000,0.5831,0.5831
18.1700,-44.0000,0.5385,0.5385
18.2700,-44.0000,0.5099,0.5099
18.3700,-44.0000,0.5000,0.5000
18.4700,-43.9000,0.5831,0.5831
18.5700,-43.9000,0.5831,0.5831
18.6700,-43.9000,0.5385,0.5385
18.7700,-43.8000,0.6083,0.6083
18.8700,-43.8000,0.5831,0.5831
18.9700,-43.8000,0.5385,0.5385
19.0700,-43.7000,0.6083,0.6083
19.1700,-43.7000,0.6000,0.6000
19.2700,-43.6000,0.7000,0.7000
19.2700,-43.5000,0.6708,0.6708
19.2700,-43.4000,0.6325,0.6325
19.2700,-43.3000,0.6083,0.6083
19.3700,-43.2000,0.6708,0.6708
19.3700,-43.1000,0.6708,0.6708
19.3700,-43.0000,0.6325,0.6325
19.3700,-42.9000,0.6083,0.6083
19.4700,-42.8000,0.7000,0.7000
19.4700,-42.7000,0.7000,0.7000
19.4700,-42.6000,0.7000,0.7000
19.4700,-42.5000,0.7000,0.7000
19.4700,-42.4000,0.7000,0.7000
19.4700,-42.3000,0.7000,0.7000
19.4700,-42.2000,0.7000,0.7000
19.5700,-42.1000,0.8000,0.8000
19.5700,-42.0000,0.8000,0.8000
19.5700,-41.9000,0.8000,0.8000
19.5700,-41.8000,0.8062,0.8062
19.5700,-41.7000,0.8246,0.8246
19.5700,-41.6000,0.8544,0.8544
19.5700,-41.5000,0.8944,0.8944
19.5700,-41.4000,0.9000,0.9000
19.5700,-41.3000,0.9000,0.9000
19.4700,-41.2000,0.8000,0.8000
19.4700,-41.1000,0.8000,0.8000
19.4700,-41.0000,0.8000,0.8000
19.4700,-40.9000,0.8062,0.8062
19.3700,-40.8000,0.7280,0.7280
19.3700,-40.7000,0.7616,0.7616
19.3700,-40.6000,0.8062,0.8062
19.3700,-40.5000,0.8246,0.8246
19.2700,-40.4000,0.7616,0.7616
19.2700,-40.3000,0.8062,0.8062
19.1700,-40.2000,0.7810,0.7810
19.0700,-40.1000,0.7810,0.7810
18.9700,-40.0000,0.8000,0.8000
18.8700,-39.9000,0.7000,0.7000
18.7700,-39.9000,0.7000,0.7000
18.6700,-39.9000,0.7000,0.7000
18.5700,-39.9000,0.7000,0.7000
18.4700,-39.9000,0.7000,0.7000
18.3700,-39.9000,0.7000,0.7000
18.2700,-39.9000,0.7000,0.7000
18.1700,-39.9000,0.7000,0.7000
18.0700,-39.9000,0.6708,0.6708
17.9700,-39.9000,0.6325,0.6325
17.8700,-39.9000,0.6083,0.6083
17.7700,-39.9000,0.6000,0.6000
17.6700,-39.9000,0.6000,0.6000
17.5700,-39.9000,0.6000,0.6000
17.4700,-39.9000,0.6000,0.6000
17.3700,-40.0000,0.5000,0.5000
17.2700,-40.0000,0.5000,0.5000
17.1700,-40.0000,0.5000,0.5000
17.0700,-40.0000,0.5000,0.5000
16.9700,-40.0000,0.5099,0.5099
16.8700,-40.0000,0.5385,0.5385
16.7700,-40.0000,0.5831,0.5831
16.6700,-40.0000,0.5831,0.5831
16.5700,-40.1000,0.5099,0.5099
16.4700,-40.1000,0.5385,0.5385
16.3700,-40.1000,0.5831,0.5831
16.2700,-40.1000,0.6000,0.6000
16.1700,-40.1000,0.6000,0.6000
16.0700,-40.1000,0.6000,0.6000
15.9700,-40.2000,0.5831,0.5831
15.8700,-40.2000,0.6325,0.6325
15.7700,-40.3000,0.6403,0.6403
15.6700,-40.3000,0.6708,0.6708
15.5700,-40.4000,0.6708,0.6708
15.5700,-40.5000,0.7071,0.7071
15.4700,-40.6000,0.7071,0.7071
15.3700,-40.7000,0.7071,0.7071
15.2700,-40.8000,0.7211,0.7211
15.2700,-40.9000,0.7616,0.7616
15.1700,-41.0000,0.7810,0.7810
15.0700,-41.1000,0.8062,0.8062
14.9700,-41.2000,0.8246,0.8246
14.8700,-41.3000,0.7616,0.7616
14.7700,-41.3000,0.7810,0.7810
14.6700,-41.4000,0.7071,0.7071
14.5700,-41.4000,0.6708,0.6708
14.4700,-41.4000,0.6325,0.6325
14.3700,-41.4000,0.6083,0.6083
14.2700,-41.4000,0.6000,0.6000
14.1700,-41.4000,0.6000,0.6000
14.0700,-41.4000,0.6000,0.6000
13.9700,-41.4000,0.6000,0.6000
13.8700,-41.4000,0.6000,0.6000
13.7700,-41.4000,0.6000,0.6000
13.6700,-41.4000,0.6083,0.6083
13.5700,-41.4000,0.6325,0.6325
13.4700,-41.3000,0.7071,0.7071
13.3700,-41.3000,0.7280,0.7280
13.2700,-41.3000,0.7616,0.7616
13.1700,-41.4000,0.7280,0.7280
13.0700,-41.4000,0.7071,0.7071
12.9700,-41.3000,0.8000,0.8000
12.8700,-41.3000,0.8000,0.8000
12.7700,-41.3000,0.8062,0.8062
12.6700,-41.4000,0.7280,0.7280
12.5700,-41.4000,0.7616,0.7616
12.4700,-41.4000,0.8062,0.8062
12.3700,-41.4000,0.8062,0.8062
12.2700,-41.5000,0.8485,0.8485
12.1700,-41.6000,0.8062,0.8062
12.1700,-41.7000,0.7810,0.7810
12.0700,-41.8000,0.8062,0.8062
11.9700,-41.9000,0.8485,0.8485
11.9700,-42.0000,0.8246,0.8246
11.9700,-42.1000,0.8062,0.8062
