# x_m,y_m,w_tr_right_m,w_tr_left_m
-5.1600,0.6400,1.0500,1.0500
-5.1600,0.6900,1.0500,1.0500
-5.1600,0.7400,1.0440,1.0440
-5.1600,0.7900,1.0308,1.0308
-5.1600,0.8400,1.0198,1.0198
-5.1600,0.8900,1.0112,1.0112
-5.1600,0.9400,1.0050,1.0050
-5.1600,0.9900,1.0012,1.0012
-5.1600,1.0400,1.0000,1.0000
-5.1600,1.0900,1.0000,1.0000
-5.1600,1.1400,0.9962,0.9962
-5.1600,1.1900,0.9823,0.9823
-5.1100,1.2400,0.9552,0.9552
-5.1100,1.2900,0.9513,0.9513
-5.1100,1.3400,0.9500,0.9500
-5.1100,1.3900,0.9500,0.9500
-5.1100,1.4400,0.9500,0.9500
-5.1100,1.4900,0.9500,0.9500
-5.1100,1.5400,0.9500,0.9500
-5.1100,1.5900,0.9500,0.9500
-5.1100,1.6400,0.9513,0.9513
-5.1100,1.6900,0.9513,0.9513
-5.1100,1.7400,0.9500,0.9500
-5.1100,1.7900,0.9500,0.9500
-5.1100,1.8400,0.9487,0.9487
-5.1100,1.8900,0.9341,0.9341
-5.0600,1.9400,0.9657,0.9657
-5.0600,1.9900,0.9618,0.9618
-5.0600,2.0400,0.9552,0.9552
-5.0600,2.0900,0.9487,0.9487
-5.0100,2.1400,0.9823,0.9823
-5.0100,2.1900,0.9708,0.9708
-5.0100,2.2400,0.9618,0.9618
-4.9600,2.2900,0.9962,0.9962
-4.9600,2.3400,0.9823,0.9823
-4.9100,2.3900,1.0198,1.0198
-4.9100,2.4400,1.0062,1.0062
-4.8600,2.4900,1.0308,1.0308
-4.8100,2.5400,1.0512,1.0512
-4.8100,2.5900,1.0440,1.0440
-4.7600,2.6400,1.0548,1.0548
-4.7100,2.6900,1.0404,1.0404
-4.6600,2.7400,1.0308,1.0308
-4.6100,2.7900,1.0259,1.0259
-4.5600,2.8400,1.0124,1.0124
-4.5100,2.8900,1.0000,1.0000
-4.4600,2.9400,0.9925,0.9925
-4.4100,2.9900,0.9862,0.9862
-4.3600,3.0400,0.9708,0.9708
-4.3100,3.0400,0.9605,0.9605
-4.2600,3.0900,0.9708,0.9708
-4.2100,3.1400,0.9708,0.9708
-4.1600,3.1400,0.9552,0.9552
-4.1100,3.1900,0.9552,0.9552
-4.0600,3.2400,0.9605,0.9605
-4.0100,3.2900,0.9434,0.9434
-3.9600,3.2900,0.9434,0.9434
-3.9100,3.3400,0.9605,0.9605
-3.8600,3.3400,0.9394,0.9394
-3.8100,3.3900,0.9618,0.9618
-3.7600,3.3900,0.9394,0.9394
-3.7100,3.3900,0.9192,0.9192
-3.6600,3.4400,0.9487,0.9487
-3.6100,3.4400,0.9341,0.9341
-3.5600,3.4900,0.9657,0.9657
-3.5100,3.4900,0.9487,0.9487
-3.4600,3.5400,0.9823,0.9823
-3.4100,3.5400,0.9708,0.9708
-3.3600,3.5400,0.9618,0.9618
-3.3100,3.5400,0.9487,0.9487
-3.2600,3.5900,0.9823,0.9823
-3.2100,3.5900,0.9708,0.9708
-3.1600,3.6400,1.0112,1.0112
-3.1100,3.6400,1.0050,1.0050
-3.0600,3.6400,0.9962,0.9962
-3.0100,3.6900,1.0308,1.0308
-2.9600,3.6900,1.0198,1.0198
-2.9100,3.6900,1.0112,1.0112
-2.8600,3.6900,1.0050,1.0050
-2.8100,3.7400,1.0440,1.0440
-2.7600,3.7400,1.0308,1.0308
-2.7100,3.7900,1.0689,1.0689
-2.6600,3.7900,1.0607,1.0607
-2.6100,3.7900,1.0548,1.0548
-2.5600,3.7900,1.0440,1.0440
-2.5100,3.7900,1.0308,1.0308
-2.4600,3.7900,1.0198,1.0198
-2.4100,3.8400,1.0607,1.0607
-2.3600,3.8400,1.0548,1.0548
-2.3100,3.8400,1.0512,1.0512
-2.2600,3.8400,1.0500,1.0500
-2.2100,3.8400,1.0500,1.0500
-2.1600,3.8400,1.0500,1.0500
-2.1100,3.8900,1.0548,1.0548
-2.0600,3.8900,1.0607,1.0607
-2.0100,3.8900,1.0689,1.0689
-1.9600,3.8900,1.0607,1.0607
-1.9100,3.8900,1.0548,1.0548
-1.8600,3.8900,1.0512,1.0512
-1.8100,3.8900,1.0500,1.0500
-1.7600,3.8900,1.0500,1.0500
-1.7100,3.8900,1.0500,1.0500
-1.6600,3.8900,1.0512,1.0512
-1.6100,3.8900,1.0548,1.0548
-1.5600,3.8900,1.0607,1.0607
-1.5100,3.8900,1.0689,1.0689
-1.4600,3.8900,1.0794,1.0794
-1.4100,3.8900,1.0920,1.0920
-1.3600,3.8900,1.1000,1.1000
-1.3100,3.8900,1.1000,1.1000
-1.2600,3.8900,1.1000,1.1000
-1.2100,3.8900,1.1000,1.1000
-1.1600,3.8900,1.0920,1.0920
-1.1100,3.8400,1.0920,1.0920
-1.0600,3.8400,1.1068,1.1068
-1.0100,3.8400,1.1102,1.1102
-0.9600,3.8400,1.1045,1.1045
-0.9100,3.8400,1.1011,1.1011
-0.8600,3.8400,1.0920,1.0920
-0.8100,3.7900,1.1281,1.1281
-0.7600,3.7900,1.1180,1.1180
-0.7100,3.7400,1.1236,1.1236
-0.6600,3.7400,1.1402,1.1402
-0.6100,3.6900,1.1068,1.1068
-0.5600,3.6400,1.0770,1.0770
-0.5100,3.5900,1.0512,1.0512
-0.4600,3.5900,1.0735,1.0735
-0.4100,3.5400,1.0512,1.0512
-0.3600,3.4900,1.0296,1.0296
-0.3100,3.4900,1.0124,1.0124
-0.2600,3.4400,0.9849,0.9849
-0.2600,3.3900,0.9849,0.9849
-0.2100,3.3400,0.9618,0.9618
-0.1600,3.2900,0.9434,0.9434
-0.1100,3.2400,0.9301,0.9301
-0.0600,3.1900,0.9014,0.9014
-0.0100,3.1400,0.8732,0.8732
0.0400,3.0900,0.8382,0.8382
0.0400,3.0400,0.8515,0.8515
0.0900,2.9900,0.8246,0.8246
0.1400,2.9400,0.7906,0.7906
0.1400,2.8900,0.7906,0.7906
0.1900,2.8400,0.7810,0.7810
0.2400,2.7900,0.7632,0.7632
0.2900,2.7400,0.7500,0.7500
0.2900,2.6900,0.7433,0.7433
0.3400,2.6400,0.7433,0.7433
0.3900,2.5900,0.7382,0.7382
0.3900,2.5400,0.7071,0.7071
0.4400,2.4900,0.7071,0.7071
0.4900,2.4400,0.7071,0.7071
0.5400,2.3900,0.7071,0.7071
0.5900,2.3400,0.7071,0.7071
0.6400,2.2900,0.7071,0.7071
0.6900,2.2400,0.7106,0.7106
0.7400,2.1900,0.7211,0.7211
0.7900,2.1400,0.7211,0.7211
0.8400,2.0900,0.7106,0.7106
0.8900,2.0400,0.7071,0.7071
0.9400,2.0400,0.7106,0.7106
0.9900,1.9900,0.7159,0.7159
1.0400,1.9400,0.6946,0.6946
1.0900,1.9400,0.7159,0.7159
1.1400,1.8900,0.6946,0.6946
1.1900,1.8900,0.7159,0.7159
1.2400,1.8400,0.6946,0.6946
1.2900,1.8400,0.7159,0.7159
1.3400,1.8400,0.6964,0.6964
1.3900,1.7900,0.7211,0.7211
1.4400,1.7900,0.7159,0.7159
1.4900,1.7400,0.7382,0.7382
1.5400,1.7400,0.7280,0.7280
1.5900,1.6900,0.7500,0.7500
1.6400,1.6900,0.7566,0.7566
1.6900,1.6900,0.7517,0.7517
1.7400,1.6400,0.7906,0.7906
1.7900,1.6400,0.7762,0.7762
1.8400,1.5900,0.7826,0.7826
1.8900,1.5900,0.8062,0.8062
1.9400,1.5900,0.8016,0.8016
1.9900,1.5900,0.8000,0.8000
2.0400,1.5900,0.8000,0.8000
2.0900,1.5900,0.8000,0.8000
2.1400,1.5400,0.8000,0.8000
2.1900,1.5400,0.8000,0.8000
2.2400,1.5400,0.8000,0.8000
2.2900,1.5900,0.8000,0.8000
2.3400,1.5900,0.8000,0.8000
