x_m,y_m,w_tr_right_m,w_tr_left_m
-5.11,0.19,1.1,1.1
-5.11,0.24,1.1,1.1
-5.11,0.29,1.1,1.1
-5.11,0.34,1.1,1.1
-5.11,0.39,1.1,1.1
-5.11,0.44,1.1,1.1
-5.11,0.49,1.1,1.1
-5.11,0.54,1.1,1.1
-5.11,0.59,1.1,1.1
-5.11,0.64,1.1,1.1
-5.11,0.69,1.1,1.1
-5.11,0.74,1.092,1.092
-5.11,0.79,1.079,1.079
-5.11,0.84,1.069,1.069
-5.11,0.89,1.061,1.061
-5.11,0.94,1.055,1.055
-5.11,0.99,1.051,1.051
-5.11,1.04,1.05,1.05
-5.11,1.09,1.05,1.05
-5.11,1.14,1.044,1.044
-5.11,1.19,1.031,1.031
-5.11,1.24,1.02,1.02
-5.11,1.29,1.011,1.011
-5.11,1.34,1.005,1.005
-5.11,1.39,1.001,1.001
-5.11,1.44,0.996,0.996
-5.11,1.49,0.982,0.982
-5.11,1.54,0.971,0.971
-5.06,1.59,0.95,0.95
-5.06,1.64,0.951,0.951
-5.06,1.69,0.955,0.955
-5.06,1.74,0.962,0.962
-5.06,1.79,0.971,0.971
-5.06,1.84,0.982,0.982
-5.06,1.89,0.982,0.982
-5.06,1.94,0.971,0.971
-5.06,1.99,0.962,0.962
-5.06,2.04,0.955,0.955
-5.01,2.09,0.996,0.996
-5.01,2.14,0.982,0.982
-5.01,2.19,0.971,0.971
-4.96,2.24,1.011,1.011
-4.96,2.29,0.996,0.996
-4.91,2.34,1.03,1.03
-4.91,2.39,1.02,1.02
-4.91,2.44,1.006,1.006
-4.86,2.49,1.031,1.031
-4.81,2.54,1.051,1.051
-4.81,2.59,1.044,1.044
-4.76,2.64,1.055,1.055
-4.71,2.69,1.04,1.04
-4.66,2.74,1.031,1.031
-4.61,2.79,1.026,1.026
-4.56,2.84,1.012,1.012
-4.51,2.89,1.0,1.0
-4.46,2.94,0.992,0.992
-4.41,2.99,0.986,0.986
-4.36,3.04,0.971,0.971
-4.31,3.04,0.96,0.96
-4.26,3.09,0.971,0.971
-4.21,3.14,0.971,0.971
-4.16,3.19,0.96,0.96
-4.11,3.24,0.939,0.939
-4.06,3.24,0.96,0.96
-4.01,3.29,0.943,0.943
-3.96,3.29,0.943,0.943
-3.91,3.34,0.96,0.96
-3.86,3.34,0.939,0.939
-3.81,3.39,0.962,0.962
-3.76,3.39,0.939,0.939
-3.71,3.44,0.962,0.962
-3.66,3.44,0.949,0.949
-3.61,3.44,0.934,0.934
-3.56,3.49,0.966,0.966
-3.51,3.49,0.949,0.949
-3.46,3.54,0.982,0.982
-3.41,3.54,0.971,0.971
-3.36,3.54,0.962,0.962
-3.31,3.59,0.996,0.996
-3.26,3.59,0.982,0.982
-3.21,3.59,0.971,0.971
-3.16,3.64,1.011,1.011
-3.11,3.64,1.005,1.005
-3.06,3.64,0.996,0.996
-3.01,3.69,1.031,1.031
-2.96,3.69,1.02,1.02
-2.91,3.69,1.011,1.011
-2.86,3.74,1.055,1.055
-2.81,3.74,1.044,1.044
-2.76,3.74,1.031,1.031
-2.71,3.79,1.069,1.069
-2.66,3.79,1.061,1.061
-2.61,3.79,1.055,1.055
-2.56,3.79,1.044,1.044
-2.51,3.79,1.031,1.031
-2.46,3.79,1.02,1.02
-2.41,3.84,1.061,1.061
-2.36,3.84,1.055,1.055
-2.31,3.84,1.051,1.051
-2.26,3.84,1.05,1.05
-2.21,3.84,1.05,1.05
-2.16,3.84,1.05,1.05
-2.11,3.84,1.044,1.044
-2.06,3.89,1.061,1.061
-2.01,3.89,1.069,1.069
-1.96,3.89,1.061,1.061
-1.91,3.89,1.055,1.055
-1.86,3.89,1.051,1.051
-1.81,3.89,1.05,1.05
-1.76,3.89,1.05,1.05
-1.71,3.89,1.05,1.05
-1.66,3.89,1.051,1.051
-1.61,3.89,1.055,1.055
-1.56,3.89,1.061,1.061
-1.51,3.89,1.069,1.069
-1.46,3.89,1.079,1.079
-1.41,3.89,1.092,1.092
-1.36,3.89,1.1,1.1
-1.31,3.89,1.1,1.1
-1.26,3.89,1.1,1.1
-1.21,3.89,1.1,1.1
-1.16,3.84,1.079,1.079
-1.11,3.84,1.092,1.092
-1.06,3.84,1.107,1.107
-1.01,3.84,1.11,1.11
-0.96,3.84,1.105,1.105
-0.91,3.84,1.101,1.101
-0.86,3.84,1.092,1.092
-0.81,3.84,1.079,1.079
-0.76,3.79,1.118,1.118
-0.71,3.74,1.124,1.124
-0.66,3.69,1.092,1.092
-0.61,3.69,1.107,1.107
-0.56,3.64,1.077,1.077
-0.51,3.64,1.097,1.097
-0.46,3.59,1.074,1.074
-0.41,3.54,1.051,1.051
-0.36,3.49,1.03,1.03
-0.31,3.44,1.006,1.006
-0.26,3.39,0.985,0.985
-0.21,3.34,0.962,0.962
-0.16,3.29,0.943,0.943
-0.11,3.24,0.93,0.93
-0.06,3.19,0.901,0.901
-0.01,3.14,0.873,0.873
-0.01,3.09,0.86,0.86
0.04,3.04,0.851,0.851
0.09,2.99,0.825,0.825
0.14,2.94,0.791,0.791
0.14,2.89,0.791,0.791
0.19,2.84,0.781,0.781
0.24,2.79,0.763,0.763
0.29,2.74,0.75,0.75
0.29,2.69,0.743,0.743
0.34,2.64,0.743,0.743
0.39,2.59,0.738,0.738
0.44,2.54,0.721,0.721
0.49,2.49,0.711,0.711
0.54,2.44,0.707,0.707
0.59,2.39,0.707,0.707
0.64,2.34,0.707,0.707
0.69,2.29,0.707,0.707
0.69,2.24,0.711,0.711
0.74,2.19,0.721,0.721
0.79,2.14,0.738,0.738
0.84,2.09,0.743,0.743
0.89,2.04,0.743,0.743
0.94,1.99,0.743,0.743
0.99,1.94,0.743,0.743
1.04,1.94,0.738,0.738
1.09,1.89,0.762,0.762
1.14,1.84,0.778,0.778
1.19,1.84,0.762,0.762
1.24,1.79,0.783,0.783
1.29,1.74,0.791,0.791
1.34,1.74,0.791,0.791
1.39,1.69,0.806,0.806
1.44,1.69,0.808,0.808
1.49,1.64,0.791,0.791
1.54,1.64,0.808,0.808
1.59,1.64,0.814,0.814
1.64,1.64,0.806,0.806
1.69,1.59,0.808,0.808
1.74,1.59,0.825,0.825
1.79,1.59,0.825,0.825
1.84,1.59,0.814,0.814
1.89,1.59,0.806,0.806
1.94,1.59,0.802,0.802
1.99,1.54,0.814,0.814
2.04,1.54,0.806,0.806
2.09,1.54,0.802,0.802
2.14,1.54,0.8,0.8
2.19,1.54,0.8,0.8
2.24,1.59,0.8,0.8
2.29,1.59,0.8,0.8
2.34,1.59,0.8,0.8
2.39,1.59,0.8,0.8
2.44,1.59,0.8,0.8
2.49,1.59,0.8,0.8
2.54,1.59,0.8,0.8
2.59,1.59,0.8,0.8
2.64,1.59,0.8,0.8
2.69,1.59,0.8,0.8
2.74,1.59,0.8,0.8
2.79,1.59,0.791,0.791
2.84,1.59,0.776,0.776
2.89,1.59,0.765,0.765
2.94,1.59,0.757,0.757
2.99,1.59,0.752,0.752
3.04,1.64,0.8,0.8
3.09,1.64,0.8,0.8
3.14,1.64,0.8,0.8
3.19,1.69,0.808,0.808
3.24,1.69,0.806,0.806
3.29,1.74,0.791,0.791
3.34,1.74,0.808,0.808
3.39,1.74,0.791,0.791
3.44,1.79,0.806,0.806
3.49,1.79,0.783,0.783
3.54,1.84,0.806,0.806
3.59,1.84,0.791,0.791
3.64,1.89,0.806,0.806
3.69,1.89,0.808,0.808
3.74,1.89,0.791,0.791
3.79,1.94,0.825,0.825
3.84,1.99,0.82,0.82
3.89,2.04,0.806,0.806
3.94,2.04,0.82,0.82
3.99,2.09,0.82,0.82
4.04,2.14,0.814,0.814
4.09,2.19,0.814,0.814
4.14,2.24,0.814,0.814
4.19,2.29,0.814,0.814
4.24,2.34,0.814,0.814
4.29,2.39,0.814,0.814
4.34,2.44,0.814,0.814
4.39,2.49,0.814,0.814
4.44,2.54,0.814,0.814
4.49,2.59,0.814,0.814
4.54,2.64,0.814,0.814
4.59,2.69,0.814,0.814
4.64,2.74,0.82,0.82
4.69,2.79,0.832,0.832
4.74,2.84,0.849,0.849
4.79,2.89,0.849,0.849
4.84,2.94,0.849,0.849
4.84,2.99,0.832,0.832
4.89,3.04,0.85,0.85
4.94,3.09,0.86,0.86
4.99,3.14,0.85,0.85
4.99,3.19,0.849,0.849
5.04,3.24,0.851,0.851
5.09,3.29,0.851,0.851
5.09,3.34,0.832,0.832
5.14,3.39,0.85,0.85
5.19,3.44,0.86,0.86
5.24,3.49,0.875,0.875
5.29,3.54,0.873,0.873
5.29,3.59,0.873,0.873
5.34,3.64,0.875,0.875
5.34,3.69,0.86,0.86
5.39,3.74,0.875,0.875
5.44,3.79,0.885,0.885
5.49,3.84,0.875,0.875
5.49,3.89,0.875,0.875
5.54,3.94,0.875,0.875
5.59,3.99,0.86,0.86
5.64,4.04,0.85,0.85
5.69,4.09,0.832,0.832
5.74,4.14,0.82,0.82
5.79,4.19,0.806,0.806
5.84,4.19,0.814,0.814
5.89,4.24,0.791,0.791
5.94,4.24,0.791,0.791
5.99,4.29,0.765,0.765
6.04,4.29,0.776,0.776
6.09,4.29,0.762,0.762
6.14,4.29,0.743,0.743
6.19,4.29,0.728,0.728
6.24,4.29,0.716,0.716
6.29,4.29,0.707,0.707
6.34,4.29,0.702,0.702
6.39,4.29,0.7,0.7
6.44,4.29,0.7,0.7
6.49,4.29,0.7,0.7
6.54,4.29,0.7,0.7
6.59,4.24,0.65,0.65
6.64,4.24,0.65,0.65
6.69,4.24,0.652,0.652
